,predict,name,position
490,0.53,Patrick Cutrone,FWD
491,0.75,Patrik Gunnarsson,GK
492,3.43,Patson Daka,FWD
493,0.64,Paul Dummett,DEF
494,2.92,Paul Pogba,MID
495,0.74,Pedro Lomba Neto,MID
496,1.26,Pelenda Joshua Dasilva,MID
497,1.02,Phil Bardsley,DEF
498,3.54,Phil Foden,MID
499,0.71,Phil Jones,DEF
500,0.47,Philip Zinckernagel,MID
501,4.38,Philippe Coutinho Correia,MID
502,0.61,Pierluigi Gollini,GK
503,0.95,Pierre Ekwah,DEF
504,1.63,Pierre Lees-Melou,MID
505,2.28,Pierre-Emile Højbjerg,MID
506,3.06,Pontus Jansson,DEF
507,1.11,Przemyslaw Placheta,MID
508,5.83,Raheem Sterling,MID
509,3.28,Raphael Dias Belloli,MID
510,2.82,Raphaël Varane,DEF
511,2.26,Rayan Ait Nouri,DEF
512,2.77,Raúl Jiménez,FWD
513,0.3,Reece Hannam,DEF
514,0.26,Reece Welch,DEF
515,0.48,Remi Matthews,GK
516,0.47,Rhys Williams,DEF
517,2.47,Ricardo Domingos Barbosa Pereira,DEF
518,1.95,Richarlison de Andrade,FWD
519,2.17,Rico Henry,DEF
520,4.53,Riyad Mahrez,MID
521,0.45,Robert Elliot,GK
522,0.76,Robert Street,FWD
523,2.6,Robert Sánchez,GK
524,4.53,Roberto Firmino,FWD
525,2.2,Robin Koch,DEF
526,0.26,Robin Olsen,GK
527,1.6786363636363637,Rodrigo Bentancur,MID
528,2.46,Rodrigo Hernandez,MID
529,3.31,Rodrigo Moreno,FWD
530,1.99,Romain Perraud,DEF
531,3.71,Romain Saïss,DEF
532,0.33,Romeo Lavia,MID
533,0.58,Rui Pedro dos Santos Patrício,GK
534,0.47,Ryan Bertrand,DEF
535,3.31,Ryan Fraser,MID
536,0.37,Ryan Fredericks,DEF
537,0.23,Ryan Giles,MID
538,0.62,Ryan Sessegnon,DEF
539,3.22,Rúben Diogo da Silva Neves,MID
540,3.32,Rúben Santos Gato Alves Dias,DEF
541,4.41,Sadio Mané,MID
542,1.46,Salomón Rondón,FWD
543,0.5,Sam Byram,DEF
544,0.21,Sam Greenwood,FWD
545,1.37,Saman Ghoddos,MID
546,1.6,Samir Caetano de Souza Santos,DEF
547,0.71,Samuel Edozie,MID
548,0.59,Samuel Kalu,MID
549,2.81,Saïd Benrahma,MID
550,0.27,Scott Banks,MID
551,0.79,Scott Carson,GK
552,1.88,Scott McTominay,MID
553,1.71,Seamus Coleman,DEF
554,0.57,Sean Longstaff,MID
555,0.64,Serge Aurier,DEF
556,2.45,Sergi Canós,MID
557,2.34,Sergio Reguilón,DEF
